Transaction Date,Vendor,Debit Amount,Category
2024-12-01,COTTON ON SINGAPORE PT SI NG 30NOV,41.99,Shopping
2024-11-20,COW PLAY COW MOO       SI NG 16NOV,38.0,Shopping
2024-11-20,SHENGSIONG@417FERNVALE SI NG 17NOV,3.48,Shopping
2024-11-20,ARCADE PLANET PTE LTD  SI NG 16NOV,8.0,Shopping
2024-11-20,MINISO - JEWEL         SI NG 16NOV,116.8,Shopping
2024-11-20,GOLDWOOD PTE LTD       SI NG 16NOV,54.0,Shopping
2024-11-20,ARCADE PLANET PTE LTD  SI NG 16NOV,20.0,Shopping
2024-11-20,ARCADE PLANET PTE LTD  SI NG 16NOV,8.0,Shopping
2024-11-20,ARCADE PLANET PTE LTD  SI NG 16NOV,20.0,Shopping
2024-11-20,ARCADE PLANET PTE LTD  SI NG 16NOV,10.0,Shopping
2024-11-20,ARCADE PLANET PTE LTD  SI NG 16NOV,20.0,Shopping
2024-11-16,SHAW THEATRES SHAW.SG  IN TE 14NOV,42.0,Shopping
2024-11-14,NETS QR PAYMENT 431909594963381,16.8,Shopping
2024-11-14,SG F&B MANAGEMENT      SI NG 12NOV,2.5,Shopping
2024-11-14,SG F&B MANAGEMENT      SI NG 12NOV,2.2,Shopping
2024-11-13,ALIEXPRESS             SI NG 11NOV,69.1,Shopping
2024-11-12,MINISO - CO            SI NG 09NOV,15.9,Shopping
2024-11-12,FAIR MART SUPERSTORE S SI NG 09NOV,15.3,Shopping
2024-11-10,TOP-UP TO PAYLAH! :,0.95,Shopping
2024-11-10,TOP-UP TO PAYLAH! :,15.91,Shopping
2024-11-10,TOP-UP TO PAYLAH! :,11.28,Shopping
2024-11-10,MINISO - NEX           SI NG 08NOV,67.5,Shopping
2024-11-07,BERSHKA -BUGIS+        SI NG 04NOV,39.9,Shopping
2024-11-06,7-ELEVEN-144 ARAB ST   SI NG 04NOV,2.5,Shopping
2024-11-06,ACTIONCITY PLUS BUGIS+ SI NG 04NOV,53.8,Shopping
2024-11-06,MINISO - WATERWAY POIN SI NG 03NOV,179.8,Shopping
2024-11-06,MINISO - CO            SI NG 03NOV,29.9,Shopping
2024-11-06,7-ELEVEN-PUNGGOL MRT   SI NG 03NOV,3.3,Shopping
2024-11-05,SHENG SIONG-SS-F1      SI NG 02NOV,2.81,Shopping
2024-11-03,WHOLLY GREENS PTE LTD  SI NG 30OCT,5.9,Shopping
2024-11-03,NETS QR PAYMENT 430807450817368,1.6,Shopping
2024-11-02,SHENG TAI TOYS PTE LTD SI NG 31OCT,64.0,Shopping
2024-10-30,03907302,4.7,Shopping
2024-10-29,PEATIX.COM             SI NG 27OCT,50.0,Shopping
2024-10-29,SHOPEE SINGAPORE MP    SI NG 25OCT,22.9,Shopping
2024-10-29,TOP-UP TO PAYLAH! :,15.62,Shopping
2024-10-27,KINOKUNIYA-BUGIS JUNCT SI NG 25OCT,11.8,Shopping
2024-10-20,FAIR MART SUPERSTORE S SI NG 18OCT,18.8,Shopping
2024-10-18,03907302,1.2,Shopping
2024-10-15,SOLACE STUDIOS         SI NG 12OCT,12.0,Shopping
2024-10-15,BERSHKA -BUGIS+        SI NG 12OCT,104.8,Shopping
2024-10-15,MONDAYS                SI NG 12OCT,48.4,Shopping
2024-10-13,TICKETMASTER SINGAPORE SI NG 11OCT,82.0,Shopping
2024-10-12,03907302,5.4,Shopping
2024-10-12,OTAKU HOUSE            SI NG 11OCT,23.9,Shopping
2024-10-02,7-ELEVEN-232 COMPASSVA SI NG 29SEP,1.6,Shopping
2024-10-02,7-ELEVEN-232 COMPASSVA SI NG 29SEP,1.0,Shopping
2024-10-01,ACTIONCITY MBS         SI NG 28SEP,18.9,Shopping
2024-09-29,FAIR MART SUPERSTORE S SI NG 27SEP,15.3,Shopping
2024-09-28,NETS QR PAYMENT 427215091701681,3.9,Shopping
2024-09-24,BJB-WATERWAYPOINT      SI NG 21SEP,6.3,Shopping
2024-09-22,NETS QR PAYMENT 426617063845903,2.0,Shopping
2024-09-22,03907302,15.0,Shopping
2024-09-21,NETS QR PAYMENT 426519160696124,1.6,Shopping
2024-09-17,SCC RETAIL SHOP        SI NG 14SEP,19.8,Shopping
2024-09-13,7-ELEVEN-DOVER MRT     SI NG 11SEP,5.4,Shopping
2024-09-11,TGP LIVING COLLECTION  SI NG 09SEP,29.9,Shopping
2024-09-11,HM NEX                 SI NG 09SEP,89.82,Shopping
